Avg_Tank_CN_ppm,Avg_Tank_DO_ppm,DO_to_CN_Ratio,Au_Cu_Interaction,CN_to_Au_Ratio,DO_Carbon_Interaction,Feed_Ton_Dry,Feed_Grade_Au_ppm,Pred_Tailings_CN
139.79591836734693,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
143.87755102040816,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
147.9591836734694,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
152.0408163265306,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
156.12244897959184,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
160.20408163265307,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
164.28571428571428,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
168.3673469387755,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
172.44897959183675,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
176.53061224489795,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
180.6122448979592,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
184.69387755102042,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,114.291916
188.77551020408163,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,121.078476
192.85714285714286,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,121.078476
196.9387755102041,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,121.078476
201.0204081632653,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,121.078476
205.10204081632654,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,121.078476
209.18367346938777,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,121.078476
213.26530612244898,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
217.3469387755102,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
221.42857142857144,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
225.51020408163265,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
229.59183673469389,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
233.67346938775512,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
237.75510204081633,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
241.83673469387756,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
245.9183673469388,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
250.0,0.8163265306122449,0.04,1.0,2.0,0.3,1400,3.2,120.92059
50.0,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
54.08163265306123,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
58.16326530612245,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
62.244897959183675,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
66.3265306122449,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
70.40816326530611,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
74.48979591836735,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
78.57142857142857,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
82.65306122448979,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
86.73469387755102,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
90.81632653061224,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
94.89795918367346,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
98.9795918367347,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
103.06122448979592,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
107.14285714285714,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
111.22448979591837,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
115.3061224489796,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
119.38775510204081,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
123.46938775510205,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
127.55102040816327,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
131.6326530612245,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
135.71428571428572,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
139.79591836734693,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
143.87755102040816,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
147.9591836734694,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
152.0408163265306,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
156.12244897959184,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
160.20408163265307,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
164.28571428571428,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
168.3673469387755,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
172.44897959183675,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
176.53061224489795,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
180.6122448979592,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
184.69387755102042,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,114.291916
188.77551020408163,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,121.078476
192.85714285714286,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,121.078476
196.9387755102041,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,121.078476
201.0204081632653,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,121.078476
205.10204081632654,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,121.078476
209.18367346938777,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,121.078476
213.26530612244898,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
217.3469387755102,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
221.42857142857144,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
225.51020408163265,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
229.59183673469389,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
233.67346938775512,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
237.75510204081633,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
241.83673469387756,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
245.9183673469388,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
250.0,1.2244897959183674,0.04,1.0,2.0,0.3,1400,3.2,120.92059
50.0,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
54.08163265306123,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
58.16326530612245,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
62.244897959183675,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
66.3265306122449,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
70.40816326530611,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
74.48979591836735,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
78.57142857142857,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
82.65306122448979,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
86.73469387755102,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
90.81632653061224,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
94.89795918367346,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
98.9795918367347,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
103.06122448979592,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
107.14285714285714,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
111.22448979591837,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
115.3061224489796,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
119.38775510204081,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
123.46938775510205,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
127.55102040816327,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
131.6326530612245,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
135.71428571428572,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
139.79591836734693,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
143.87755102040816,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
147.9591836734694,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
152.0408163265306,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
156.12244897959184,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
160.20408163265307,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
164.28571428571428,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
168.3673469387755,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
172.44897959183675,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
176.53061224489795,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
180.6122448979592,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
184.69387755102042,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,114.291916
188.77551020408163,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,121.078476
192.85714285714286,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,121.078476
196.9387755102041,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,121.078476
201.0204081632653,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,121.078476
205.10204081632654,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,121.078476
209.18367346938777,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,121.078476
213.26530612244898,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
217.3469387755102,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
221.42857142857144,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
225.51020408163265,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
229.59183673469389,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
233.67346938775512,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
237.75510204081633,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
241.83673469387756,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
245.9183673469388,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
250.0,1.6326530612244898,0.04,1.0,2.0,0.3,1400,3.2,120.92059
50.0,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
54.08163265306123,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
58.16326530612245,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
62.244897959183675,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
66.3265306122449,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
70.40816326530611,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
74.48979591836735,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
78.57142857142857,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
82.65306122448979,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
86.73469387755102,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
90.81632653061224,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
94.89795918367346,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
98.9795918367347,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
103.06122448979592,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
107.14285714285714,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
111.22448979591837,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
115.3061224489796,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
119.38775510204081,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
123.46938775510205,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
127.55102040816327,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
131.6326530612245,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
135.71428571428572,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
139.79591836734693,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
143.87755102040816,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
147.9591836734694,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
152.0408163265306,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
156.12244897959184,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
160.20408163265307,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
164.28571428571428,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
168.3673469387755,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
172.44897959183675,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
176.53061224489795,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
180.6122448979592,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
184.69387755102042,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,114.291916
188.77551020408163,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,121.078476
192.85714285714286,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,121.078476
196.9387755102041,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,121.078476
201.0204081632653,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,121.078476
205.10204081632654,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,121.078476
209.18367346938777,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,121.078476
213.26530612244898,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
217.3469387755102,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
221.42857142857144,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
225.51020408163265,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
229.59183673469389,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
233.67346938775512,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
237.75510204081633,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
241.83673469387756,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
245.9183673469388,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
250.0,2.0408163265306123,0.04,1.0,2.0,0.3,1400,3.2,120.92059
50.0,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
54.08163265306123,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
58.16326530612245,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
62.244897959183675,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
66.3265306122449,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
70.40816326530611,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
74.48979591836735,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
78.57142857142857,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
82.65306122448979,2.4489795918367347,0.04,1.0,2.0,0.3,1400,3.2,114.291916
